"iso_code","country","Y","X1","X2","X3","X4","X5","D","l_Y","l_X1","l_X2","l_X5"
"MKD","North Macedonia",60.52743909,25.18659177,66.79062162,4.83,7.2,22822.28881,"LowFreedom",4.1030968008969,3.22631178029746,4.20156267577613,10.035492916809
"OMN","Oman",61.32301657,51.89230699,15.96025124,5.37,6.44,39780.21228,"LowFreedom",4.11615524669448,3.94917055163207,2.7701013337524,10.5911248887436
"PAK","Pakistan",28.73367058,10.54154409,11.48540665,3.93,5.95,5526.279283,"LowFreedom",3.35806962605563,2.35532403048588,2.44107724256692,8.61727004401807
"PAN","Panama",112.7662204,72.17770941,19.04562175,5.71,6.9,33833.02651,"HighFreedom",4.72531682967649,4.27913126429713,2.94683724576156,10.4291927200848
"PRY","Paraguay",44.83039897,28.36685777,9.906547541,4.51,6.64,15259.14563,"HighFreedom",3.80288645774854,3.34522148378629,2.29319590631103,9.63293431572194
"PER","Peru",33.80813112,5.181614188,121.5158012,5.1,6.85,15559.82164,"HighFreedom",3.52070133923816,1.6451166270332,4.80004430535351,9.65244733494175
"PHL","Philippines",57.45801535,29.08212339,8.931248976,4.55,6.55,9457.103954,"HighFreedom",4.05105451327486,3.37012366891291,2.18955624804243,9.15452147923595
"POL","Poland",46.02937408,68.3466844,22.6368324,6.46,6.4,43405.02158,"LowFreedom",3.82927975964849,4.22459305284924,3.11957833188566,10.6783304180035
"PRT","Portugal",93.87388192,159.3366203,29.73240723,7.87,6.65,41070.86131,"HighFreedom",4.54195219970711,5.07101907310847,3.39223760345968,10.6230541784862
"ROU","Romania",34.53337652,63.38404411,21.51557,6.88,6.35,39380.23614,"HighFreedom",3.54192629173564,4.14921215957965,3.06877685908394,10.58101934862
"RWA","Rwanda",23.93715743,3.150822904,4.110284014,5.97,6.5,2892.459649,"LowFreedom",3.17543195582018,1.14766365808556,1.41349212928365,7.96986250875445
"SAU","Saudi Arabia",53.79528666,8.059130426,67.02606374,6.45,6.7,67178.59023,"HighFreedom",3.9851858547797,2.0868056631052,4.20508155479056,11.1151098779803
"SEN","Senegal",49.77713797,6.797731271,5.205386001,4.48,6.01,4228.733826,"LowFreedom",3.90755580171491,1.91658891989534,1.64969385897142,8.34965789531669
"SRB","Serbia",47.94184407,53.80363303,24.3176303,5.42,6.49,24634.48629,"LowFreedom",3.86998869447419,3.98534099332646,3.19120161402818,10.111902621909
