DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2022
IMF.STA:FAS(4.0.0),SEN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Senegal,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,49.77713797
IMF.STA:FAS(4.0.0),MLI.OUTD_COMBANK.POGDP.A,OBS_VALUE,Mali,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,38.41968994
IMF.STA:FAS(4.0.0),NER.OUTD_COMBANK.POGDP.A,OBS_VALUE,Niger,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,15.4402431
IMF.STA:FAS(4.0.0),BEN.OUTD_COMBANK.POGDP.A,OBS_VALUE,Benin,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,35.55953871
IMF.STA:FAS(4.0.0),GHA.FA18N.PHTADLT_NUM.A,OBS_VALUE,Ghana,Number of automated teller machines (ATMs),"Per 100,000 adults",Annual,Units,11.35983293
IMF.STA:FAS(4.0.0),GHA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Ghana,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,25.70465767
IMF.STA:FAS(4.0.0),BFA.OUTD_COMBANK.POGDP.A,OBS_VALUE,Burkina Faso,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,44.28167331
IMF.STA:FAS(4.0.0),GNB.OUTD_COMBANK.POGDP.A,OBS_VALUE,Guinea-Bissau,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,24.22070399
IMF.STA:FAS(4.0.0),GHA.FA26N.PHTADLT_NUM.A,OBS_VALUE,Ghana,Number of commercial bank branches,"Per 100,000 adults",Annual,Units,6.107924355
IMF.STA:FAS(4.0.0),MOZ.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Mozambique, Republic of","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,48.3689844
IMF.STA:FAS(4.0.0),DOM.OUTD_COMBANK.POGDP.A,OBS_VALUE,Dominican Republic,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,30.60773337
IMF.STA:FAS(4.0.0),MUS.OUTD_COMBANK.POGDP.A,OBS_VALUE,Mauritius,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,113.3890676
IMF.STA:FAS(4.0.0),GMB.OUTD_COMBANK.POGDP.A,OBS_VALUE,"Gambia, The","Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,44.61604509
IMF.STA:FAS(4.0.0),GTM.OUTD_COMBANK.POGDP.A,OBS_VALUE,Guatemala,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,45.10091941
IMF.STA:FAS(4.0.0),NAM.OUTD_COMBANK.POGDP.A,OBS_VALUE,Namibia,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,52.94559326
IMF.STA:FAS(4.0.0),AGO.OUTD_COMBANK.POGDP.A,OBS_VALUE,Angola,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,20.49948443
IMF.STA:FAS(4.0.0),DJI.OUTD_COMBANK.POGDP.A,OBS_VALUE,Djibouti,"Outstanding deposits, Commercial banks",Percent of GDP,Annual,Units,68.65949245
